Ano,MesNum,Aeropuerto,Pais,Sexo,Valor_Residencia,Prediccion_XGB_Mejorado,Error_pct
2023,3,"acapulco, gro.",guatemala,hombre,15,2.1271858,85.8
2023,3,"acapulco, gro.",guatemala,mujer,10,3.2085986,67.9
2023,2,"acapulco, gro.",hungria,hombre,2,1.3660159,31.7
2023,3,"acapulco, gro.",india,mujer,1,1.53449,53.4
2023,2,"acapulco, gro.",indonesia,hombre,1,1.504647,50.5
2023,5,"acapulco, gro.",indonesia,mujer,2,1.2930185,35.3
2023,3,"acapulco, gro.",iran,hombre,1,1.330493,33.0
2023,5,"acapulco, gro.",irlanda,mujer,1,1.0811285,8.1
2023,2,"acapulco, gro.",italia,hombre,2,2.4654176,23.3
2023,3,"acapulco, gro.",italia,hombre,2,2.1047473,5.2
2023,5,"acapulco, gro.",italia,hombre,1,1.5479735,54.8
2023,2,"acapulco, gro.",italia,mujer,2,2.3058622,15.3
2023,3,"acapulco, gro.",italia,mujer,1,1.9872214,98.7
2023,9,"acapulco, gro.",japon,hombre,1,1.8264871,82.6
2023,2,"acapulco, gro.",japon,mujer,1,1.7022924,70.2
2023,5,"acapulco, gro.",japon,mujer,1,1.532516,53.3
2023,9,"acapulco, gro.",japon,mujer,1,1.0080987,0.8
2023,3,"acapulco, gro.",lituania,mujer,1,1.2555919,25.6
2023,2,"acapulco, gro.",noruega,hombre,4,1.6345495,59.1
2023,5,"acapulco, gro.",noruega,mujer,1,1.1196421,12.0
2023,1,"acapulco, gro.",nueva zelandia,hombre,1,1.5042206,50.4
2023,7,"acapulco, gro.",nueva zelandia,hombre,1,1.519211,51.9
2023,10,"acapulco, gro.",nueva zelandia,hombre,3,1.5943015,46.9
2023,10,"acapulco, gro.",nueva zelandia,mujer,1,1.3739905,37.4
2023,1,"acapulco, gro.",paises bajos (holanda),hombre,1,1.6814523,68.1
2023,3,"acapulco, gro.",paises bajos (holanda),hombre,4,1.8707615,53.2
2023,2,"acapulco, gro.",paises bajos (holanda),mujer,1,1.6939294,69.4
2023,3,"acapulco, gro.",paises bajos (holanda),mujer,4,1.9018816,52.5
2023,2,"acapulco, gro.",paraguay,hombre,1,1.459418,45.9
2023,3,"acapulco, gro.",paraguay,hombre,1,1.3869857,38.7
2023,5,"acapulco, gro.",peru,hombre,28,2.6750298,90.4
2023,5,"acapulco, gro.",peru,mujer,43,3.857226,91.0
2023,5,"acapulco, gro.",polonia,hombre,1,1.3880777,38.8
2023,6,"acapulco, gro.",polonia,hombre,1,1.2915816,29.2
2023,2,"acapulco, gro.",portugal,hombre,1,1.5869766,58.7
2023,1,"acapulco, gro.",reino unido,hombre,2,3.1542459,57.7
2023,2,"acapulco, gro.",reino unido,hombre,3,4.0378065,34.6
2023,3,"acapulco, gro.",reino unido,hombre,3,3.9526281,31.8
2023,1,"acapulco, gro.",reino unido,mujer,1,2.0808377,108.1
2023,3,"acapulco, gro.",reino unido,mujer,2,2.3731217,18.7
2023,3,"acapulco, gro.",rusia,mujer,1,1.9589612,95.9
2023,5,"acapulco, gro.",suecia,hombre,1,1.3501235,35.0
2023,2,"acapulco, gro.",turquia,hombre,4,1.4640862,63.4
2023,2,"acapulco, gro.",ucrania,hombre,1,1.542876,54.3
2023,3,"acapulco, gro.",ucrania,hombre,2,1.5381954,23.1
2023,2,"acapulco, gro.",ucrania,mujer,2,1.4787837,26.1
2023,3,"acapulco, gro.",ucrania,mujer,1,1.6361332,63.6
2023,3,"acapulco, gro.",uruguay,hombre,1,1.3919631,39.2
2023,1,"acapulco, gro.",vaticano,mujer,1,1.1218449,12.2
2023,5,"acapulco, gro.",venezuela,hombre,1,1.8120875,81.2
2023,1,"aguascalientes, ags.",alemania,hombre,8,8.343487,4.3
2023,2,"aguascalientes, ags.",alemania,hombre,9,9.867234,9.6
2023,3,"aguascalientes, ags.",alemania,hombre,11,11.017164,0.2
2023,4,"aguascalientes, ags.",alemania,hombre,11,10.14319,7.8
2023,5,"aguascalientes, ags.",alemania,hombre,11,9.376181,14.8
2023,6,"aguascalientes, ags.",alemania,hombre,15,8.549133,43.0
2023,7,"aguascalientes, ags.",alemania,hombre,9,11.820494,31.3
2023,8,"aguascalientes, ags.",alemania,hombre,20,13.2167635,33.9
2023,9,"aguascalientes, ags.",alemania,hombre,11,14.245358,29.5
2023,10,"aguascalientes, ags.",alemania,hombre,26,13.631462,47.6
2023,11,"aguascalientes, ags.",alemania,hombre,14,20.80906,48.6
2023,12,"aguascalientes, ags.",alemania,hombre,25,12.552625,49.8
2023,1,"aguascalientes, ags.",alemania,mujer,4,3.5193553,12.0
2023,2,"aguascalientes, ags.",alemania,mujer,6,3.4749155,42.1
2023,3,"aguascalientes, ags.",alemania,mujer,10,3.6204333,63.8
2023,4,"aguascalientes, ags.",alemania,mujer,2,4.7064204,135.3
2023,5,"aguascalientes, ags.",alemania,mujer,9,3.8048582,57.7
2023,6,"aguascalientes, ags.",alemania,mujer,5,4.070461,18.6
2023,7,"aguascalientes, ags.",alemania,mujer,3,4.4204836,47.3
2023,8,"aguascalientes, ags.",alemania,mujer,6,4.694117,21.8
2023,9,"aguascalientes, ags.",alemania,mujer,6,3.6940608,38.4
2023,10,"aguascalientes, ags.",alemania,mujer,8,4.786327,40.2
2023,11,"aguascalientes, ags.",alemania,mujer,6,7.332374,22.2
2023,12,"aguascalientes, ags.",alemania,mujer,3,5.5802674,86.0
2023,5,"aguascalientes, ags.",andorra,mujer,1,1.2655811,26.6
